name,eircode,lat,lon,x,y,address
Midland Regional Hospital Portlaoise,R32RW61,53.03817,-7.27712,248539.8285,198821.7809,"Dublin Road, Portlaoise, Co. Laois, "
Midland Regional Hospital Tullamore,R35NY51,53.28239,-7.49215,233923.1455,225877.1039,"Arden Road, Tullamore, Co. Offaly, "
St James's Hospital Dublin,D08NHY1,53.33946,-6.29776,313433.6436,233460.873,"James's Street, Dublin 8, "
Naas General Hospital,W91AE76,53.21169,-6.66271,289392.2816,218724.4999,"Craddockstown Road, Naas, Co. Kildare, "
The Adelaide & Meath Hospital (Tallaght Hospital) Dublin,,53.29065,-6.37825,308195.7986,227903.5429,"Tallaght, Dublin 24"
Cavan General Hospital,H12A5D7,54.00105,-7.37386,241108.2195,305926.719,"Lisdarn, Cavan, "
Louth County Hospital Dundalk,,53.98808,-6.401,304933.9162,305486.799,"Dublin Road, Dundalk"
Monaghan Hospital,H18NV91,54.24971,-6.97551,266828.5975,333908.8821,"Monaghan, "
Our Lady of Lourdes Hospital Drogheda,A92VW28,53.72296,-6.35609,308563.4386,276047.75,"Drogheda, Co. Louth, "
Connolly Hospital Dublin,D15X40D,53.38879,-6.36927,308545.2076,238839.27,"Mill Road, Dublin 15, "
Beaumont Hospital,D09C562,53.39235,-6.22679,318014.4006,239461.7999,"Beaumont Road, Dublin 9, "
St Luke's General Hospital Kilkenny,R95FY71,52.66625,-7.26392,249849.5305,157441.6319,"Freshford Road, Kilkenny, "
Wexford General Hospital,,52.34305,-6.48351,303401.8406,122304.6848,"Newtown Road, Wexford, Y35y17d"
Our Lady's Hospital Navan,C15RK7Y,53.65052,-6.69829,286123.9386,267517.563,"Navan, Co. Meath, "
Midland Regional Hospital Mullingar,N91NA43,53.53439,-7.35026,243131.5005,254000.7,"Longford Road, Mullingar, Co. Westmeath, "
St Columcille's Hospital,D18V9K1,53.24305,-6.13356,324650.0136,223005.9479,"Bray Road, Loughlinstown, Co. Dublin, "
St Vincent's University Hospital,D04T6F4,53.31681,-6.21438,319049.9696,231076.2339,"Elm Park, Nutley Lane, Dublin 4, "
St Michael's Hospital Dun Laoghaire,A96P902,53.29403,-6.13965,324095.6746,228667.4989,"George's Street Lower, Dun Laoghaire, Co. Dublin, "
Mater Misericordiae Hospital,D07R2WY,53.35962,-6.26936,315270.9066,235749.3699,"Eccles Street, Dublin 7, "
South Tipperary General Hospital,E91VY40,52.35569,-7.71543,219438.4595,122665.8848,"Western Road, Clonmel, Co. Tipperary, "
University Hospital Waterford,X91ER8E,52.24877,-7.07961,262910.9695,111129.5228,"Dunmore Road, Waterford, "
Bantry General Hospital,P75DX93,51.67618,-9.45078,99695.28536,48014.02974,"Carrignagat, Bantry, Co. Cork, "
Cork University Hospital,T12DC4A,51.88357,-8.51164,164819.4034,70216.09277,"Wilton, Cork, "
Mallow General Hospital,P51N288,52.15153,-8.66472,154551.0944,100117.7888,"Kilknockin, Mallow, Co. Cork, "
Ennis Hospital,V95HN29,52.85131,-8.98438,133732.5354,178235.0779,"Gort Road, Ennis, Co. Clare, "
Roscommon County Hospital,F42AX61,53.62497,-8.17623,188388.3285,263899.813,"Ardsallagh Beg, Co. Roscommon, "
Mercy University Hospital,T12WE28,51.89896,-8.48356,166764.5734,71915.37076,"Grenville Place, Cork, "
Nenagh Hospital,E45PT86,52.85786,-8.19232,187094.4565,178527.3649,"Tyone, Nenagh, Co. Tipperary, "
Sligo Regional Hospital,F91H684,54.27438,-8.46453,169786.3464,336269.7351,"The Mall, Sligo, "
University Hospital Galway,H91YR71,53.27606,-9.06616,128926.2994,225582.2939,"Newcastle Road, Galway, "
Portiuncula Hospital,H53T971,53.32685,-8.23578,184339.0425,230731.3919,"Ballinasloe, Co. Galway, "
South Infirmary Victoria University Hospital,T12X23H,51.89376,-8.4649,168045.1354,71328.93777,"Old Blackrock Road, Cork, "
St John's Hospital,,52.66305,-8.61706,158298.4279,157008.8367,"St. John's Square, Limerick"
Letterkenny University Hospital,F92AE81,54.96023,-7.73553,216990.1175,412551.1811,"Kilmacrennan Road, Letterkenny, Co. Donegal, "
Merlin Park University Hospital,H91N973,53.27762,-8.99434,133719.3214,225686.7119,"Galway, "
University Hospital Kerry,V92NX94,52.26557,-9.69027,84653.57835,113945.3278,"Tralee, Co. Kerry, "
University Hospital Limerick,V94F858,52.63607,-8.65446,155741.1214,154029.2699,"Saint Nessan's Road, Dooradoyle, Limerick, "
Mayo General Hospital,F23H529,53.85224,-9.30459,114195.8524,289970.125,"Westport Road, Castlebar, Co. Mayo, "
